,smiles,name
0,N[C@@H](Cc1ccc(O)c(Br)c1)C(=O)O,3BrY
1,N[C@@H](Cc1cccc(F)c1)C(=O)O,3FF
2,C=CC[C@H](N)C(=O)O,AllylG
3,C[Se]C[C@H](N)C(=O)O,SeMeC
4,N[C@@H](Cc1cccs1)C(=O)O,2ThiA
5,N[C@@H](Cc1ccsc1)C(=O)O,3ThiA
6,C1=CC=C(C(=C1)C[C@@H](C(=O)O)N)Cl,2ClF
7,N[C@@H](Cc1ccc(F)cc1F)C(=O)O,24FF
8,N[C@@H](Cc1cccc(F)c1F)C(=O)O,23FF
9,N[C@@H](Cc1cc(F)ccc1F)C(=O)O,25FF
10,N[C@@H](Cc1ccc(F)c(F)c1)C(=O)O,34FF
11,N[C@@H](Cc1cc(F)c(F)cc1F)C(=O)O,245FF
12,N[C@@H](Cc1c(F)ccc(F)c1F)C(=O)O,236FF
13,N[C@@H](Cc1cc(F)c(F)c(F)c1)C(=O)O,345FF
14,N[C@@H](Cc1c(F)c(F)c(F)c(F)c1F)C(=O)O,PFF
15,N[C@@H](Cc1cccc(Cl)c1Cl)C(=O)O,23ClF
16,N[C@@H](Cc1cc(Cl)ccc1Cl)C(=O)O,25ClF
17,N[C@@H](Cc1cc(Cl)cc(Cl)c1)C(=O)O,35ClF
18,N[C@@H](Cc1ccc(Br)cc1Cl)C(=O)O,4Br2ClF
19,N[C@@H](Cc1cc(Br)ccc1Cl)C(=O)O,5Br2ClF
20,Cc1c(Br)cccc1C[C@H](N)C(=O)O,3Br2MeF
21,Cc1cc(C)cc(C[C@H](N)C(=O)O)c1,35MeF
22,CC(C)(C)C[C@H](N)C(=O)O,4MeL
23,CSC[C@H](N)C(=O)O,MeC
24,N[C@@H](CC1CC1)C(=O)O,CPrF
25,N[C@@H](CC1CCC1)C(=O)O,CBuF
26,N[C@@H](CC1CCCC1)C(=O)O,CPeF
